ID	ID_nohemi	hemi	name	name_full	level 0 / Lobe	level 1 / ROI	level 1 / ROI (abbr)	Modified Cytoarchitectonic
88	88	lh	TP.mr	temporal pole, mediorostral part	Temporal Lobe	Temporal Pole	TP	TP
89	89	lh	TP.lr	temporal pole, laterorostral part	Temporal Lobe	Temporal Pole	TP	TP
90	90	lh	TP.dr	temporal pole, dorsorostral part 	Temporal Lobe	Temporal Pole	TP	TP
91	91	lh	TP.cEx	temporal pole, caudoexternal  part	Temporal Lobe	Temporal Pole	TP	TP
92	92	lh	TP.cIn	temporal pole, caudointernal  part	Temporal Lobe	Temporal Pole	TP	TP
93	93	lh	V1.cm	V1, caudomedial part	Occipital Lobe	V1	V1	V1
94	94	lh	V1.dl	V1, dorsolateral part	Occipital Lobe	V1	V1	V1
95	95	lh	V1.vl	V1,  ventrolateral part	Occipital Lobe	V1	V1	V1
96	96	lh	V1.mvi	V1, medial ventrointermediate part	Occipital Lobe	V1	V1	V1
97	97	lh	V1.mdi	V1, medial dorsointermediate part	Occipital Lobe	V1	V1	V1
98	98	lh	V1.rm	V1, rostromedial part	Occipital Lobe	V1	V1	V1
99	99	lh	V2.l	V2, lateral part	Occipital Lobe	V2	V2	V2
100	100	lh	V2.d	V2, dorsal part	Occipital Lobe	V2	V2	V2
101	101	lh	V2.v	V2, ventral part	Occipital Lobe	V2	V2	V2
102	102	lh	V2.dm	V2, dorsomedial part	Occipital Lobe	V2	V2	V2
103	103	lh	V2.vm	V2, ventromedial part	Occipital Lobe	V2	V2	V2
104	104	lh	VMO.l	ventromedial occipital cortex, lateral part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  dorsal part
105	105	lh	VMO.i	ventromedial occipital cortex, intermediate part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  ventral part
106	106	lh	VMO.m	ventromedial occipital cortex, medial part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  medial part
107	107	lh	INS.vr	insula cortex, ventrorostral part	Insula Cortex	Insula Cortex	INS	Ipa
108	108	lh	INS.dr	insula cortex, dorsorostral part	Insula Cortex	Insula Cortex	INS	Ia
109	109	lh	INS.ri	insula cortex, rostrointermediate part	Insula Cortex	Insula Cortex	INS	Id
110	110	lh	INS.v	insula cortex, ventral part	Insula Cortex	Insula Cortex	INS	Ip/Id
111	111	lh	INS.ci	insula cortex, caudointermediate  part	Insula Cortex	Insula Cortex	INS	Ig, rostral part
112	112	lh	INS.c	insula cortex, caudal part	Insula Cortex	Insula Cortex	INS	Ig, caudal part
113	113	lh	CG.vr	cingulate cortex, ventrorostral  part	Limbic Lobe	Cingulate Cortex	CG	25
114	114	lh	CG.ir	cingulate cortex,  intermediorostral part	Limbic Lobe	Cingulate Cortex	CG	32
115	115	lh	CG.dr	cingulate cortex, dorsorostral part	Limbic Lobe	Cingulate Cortex	CG	24c, rostral part
116	116	lh	CG.idr	cingulate cortex, intermediate dorsorostral part	Limbic Lobe	Cingulate Cortex	CG	24c
117	117	lh	CG.idc	cingulate cortex, intermediate dorsocaudal part	Limbic Lobe	Cingulate Cortex	CG	23c/24d
118	118	lh	CG.ivr	cingulate cortex, intermediate ventrorostral part	Limbic Lobe	Cingulate Cortex	CG	24a/24b
119	119	lh	CG.ivc	cingulate cortex, intermediate ventrocaudal part	Limbic Lobe	Cingulate Cortex	CG	23a/23b, rostral part
120	120	lh	CG.dc	cingulate cortex,  dorsocaudal part	Limbic Lobe	Cingulate Cortex	CG	23a/23b, caudal part
121	121	lh	CG.vc	cingulate cortex, ventrocaudal part	Limbic Lobe	Cingulate Cortex	CG	23
122	122	lh	CG.RSr	cingulate cortex, retrosplenial rostral part	Limbic Lobe	Cingulate Cortex	CG	29/30, rostral part
123	123	lh	CG.RSi	cingulate cortex, retrosplenial intermediate part	Limbic Lobe	Cingulate Cortex	CG	29/30, intermediate part
124	124	lh	CG.RSc	cingulate cortex, retrosplenial, caudal part	Limbic Lobe	Cingulate Cortex	CG	29/30, caudal part
125	125	lh	Acb.C	accumbens nucleus, core part	Subcortex Nucleus	Accumbens nucleus	Acb 	AcbC
126	126	lh	Acb.Sh	accumbens nucleus, shell part	Subcortex Nucleus	Accumbens nucleus	Acb 	AcbSh
127	127	lh	Amyg.cl	amygdaloid nucleus, caudolateral part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
128	128	lh	Amyg.rl	amygdaloid nucleus, rostrolateral part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
129	129	lh	Amyg.m	amygdaloid nucleus, medial part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
130	130	lh	Cd.Hv	caudate nucleus, head ventral part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
131	131	lh	Cd.B	caudate nucleus, body part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
132	132	lh	Cd.Hi	caudate nucleus, head intermediate part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
133	133	lh	Cd.Hd	caudate nucleus,  head  dorsal part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
134	134	lh	Cd.T	caudate nucleus, tail part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
135	135	lh	HF.c	hippocampal formation, caudal part	Subcortex Nucleus	Hippocampus formation	HF	HF
136	136	lh	HF.i	hippocampal formation, intermediate part	Subcortex Nucleus	Hippocampus formation	HF	HF
137	137	lh	HF.r	hippocampal formation, rostral part	Subcortex Nucleus	Hippocampus formation	HF	HF
138	138	lh	Hy.cl	hypothalamus, caudolateral part	Subcortex Nucleus	Hypothalamus	Hy	Hy
139	139	lh	Hy.rl	hypothalamus, rostrolateral part	Subcortex Nucleus	Hypothalamus	Hy	Hy
140	140	lh	Hy.m	hypothalamus, medial part	Subcortex Nucleus	Hypothalamus	Hy	Hy
141	141	lh	GP.v	globus pallidus, ventral part	Subcortex Nucleus	globus pallidus	GP	GP
142	142	lh	GP.d	globus pallidus, dorsal part	Subcortex Nucleus	globus pallidus	GP	GP
143	143	lh	Pu.r	putamen, rostral part	Subcortex Nucleus	Putamen	Pu	Pu
144	144	lh	Pu.v	putamen, ventral part	Subcortex Nucleus	Putamen	Pu	Pu
145	145	lh	Pu.c	putamen, caudal part	Subcortex Nucleus	Putamen	Pu	Pu
146	146	lh	Tha.rv	thalamus, rostroventral part	Subcortex Nucleus	thalamus	Tha	Tha
147	147	lh	Tha.c	thalamus, caudal part	Subcortex Nucleus	thalamus	Tha	Tha
148	148	lh	Tha.ld	thalamus, laterodorsal part	Subcortex Nucleus	thalamus	Tha	Tha
149	149	lh	Tha.l	thalamus, lateral part	Subcortex Nucleus	thalamus	Tha	Tha
150	150	lh	Tha.m	thalamus, medial part	Subcortex Nucleus	thalamus	Tha	Tha
151	151	lh	Tha.Sh	thalamus, shell part	Subcortex Nucleus	thalamus	Tha	Tha
152	152	lh	Tha.cv	thalamus, caudoventral part	Subcortex Nucleus	thalamus	Tha	Tha
153	1	rh	FP.d	frontal pole, dorsal part	Frontal Lobe	Frontal Pole	FP	10D/46D
154	2	rh	FP.m	frontal pole,  medial part	Frontal Lobe	Frontal Pole	FP	10M/10V
155	3	rh	FP.v	frontal pole,  ventral part	Frontal Lobe	Frontal Pole	FP	10V/46V
156	4	rh	SFG.rm	superior frontal gyrus, rostromedial part	Frontal Lobe	Superior Frontal Gyrus	SFG	9M
157	5	rh	SFG.cm	superior frontal gyrus, caudomedial part 	Frontal Lobe	Superior Frontal Gyrus	SFG	8Bm
158	6	rh	SFG.r	superior frontal gyrus, rostral part	Frontal Lobe	Superior Frontal Gyrus	SFG	46D
159	7	rh	SFG.ri	superior frontal gyrus, rostrointermediate part	Frontal Lobe	Superior Frontal Gyrus	SFG	9/46D, 9L
160	8	rh	SFG.ci	superior frontal gyrus, caudointermediate part	Frontal Lobe	Superior Frontal Gyrus	SFG	8A/8B
161	9	rh	SFG.c	superior frontal gyrus, caudal part	Frontal Lobe	Superior Frontal Gyrus	SFG	8AD
162	10	rh	IFG.rd	inferior frontal gyrus, rostrodorsal part 	Frontal Lobe	Inferior Frontal Gyrus	IFG	46V/12L
163	11	rh	IFG.cd	inferior frontal gyrus, caudodorsal part 	Frontal Lobe	Inferior Frontal Gyrus	IFG	46v/45B
164	12	rh	IFG.cv	inferior frontal gyrus, caudoventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	8A/45B
165	13	rh	IFG.iv	inferior frontal gyrus, intermedioventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	44
166	14	rh	IFG.rv	inferior frontal gyrus, rostroventral part	Frontal Lobe	Inferior Frontal Gyrus	IFG	12L/45B
167	15	rh	OrG.rm	orbital gyrus, rostromedial part	Frontal Lobe	Orbital Gyrus	OrG	14
168	16	rh	OrG.cm	orbital gyrus, caudomedial part	Frontal Lobe	Orbital Gyrus	OrG	OPAI
169	17	rh	OrG.ri	orbital gyrus, rostrointermediate part	Frontal Lobe	Orbital Gyrus	OrG	11
170	18	rh	OrG.ci	orbital gyrus, caudointermediate part	Frontal Lobe	Orbital Gyrus	OrG	13
171	19	rh	OrG.rl	orbital gyrus, rostrolateral part	Frontal Lobe	Orbital Gyrus	OrG	12O, rostral part
172	20	rh	OrG.cl	orbital gyrus, caudolateral part	Frontal Lobe	Orbital Gyrus	OrG	12O, caudal part
173	21	rh	M1.v	primary motor cortex, ventral part	Sensorimotor Cortex	Primary Motor Cortex	M1	4(face)
174	22	rh	M1.i	primary motor cortex, intermediate part 	Sensorimotor Cortex	Primary Motor Cortex	M1	4(arm)
175	23	rh	M1.d	primary motor cortex, dorsal part	Sensorimotor Cortex	Primary Motor Cortex	M1	4(foot)
176	24	rh	M1.m	primary motor cortex, medial  part 	Sensorimotor Cortex	Primary Motor Cortex	M1	4, medial part
177	25	rh	PM.rd	premotor cortex, rostrodorsal part	Sensorimotor Cortex	Premotor Cortex	PM	6DR
178	26	rh	PM.cd	premotor cortex, caudodorsal part	Sensorimotor Cortex	Premotor Cortex	PM	6DC
179	27	rh	PM.i	premotor cortex, intermediate part	Sensorimotor Cortex	Premotor Cortex	PM	6DC, ventral part
180	28	rh	PM.cv	premotor cortex, caudoventral part	Sensorimotor Cortex	Premotor Cortex	PM	6VC
181	29	rh	PM.rv	premotor cortex, rostroventral part	Sensorimotor Cortex	Premotor Cortex	PM	6VR
182	30	rh	PM.rm	premotor cortex, rostromedial part	Sensorimotor Cortex	Premotor Cortex	PM	6M, rostral part
183	31	rh	PM.cm	premotor cortex, caudomedial part	Sensorimotor Cortex	Premotor Cortex	PM	6M, caudal part
184	32	rh	PoCG.dm	postcentral gyrus, dorsomedial part 	Sensorimotor Cortex	Postcentral Gyrus	PoCG	1/2/3 (foot)
