ID	ID_nohemi	hemi	name	name_full	level 0 / Lobe	level 1 / ROI	level 1 / ROI (abbr)	Modified Cytoarchitectonic
272	120	rh	CG.dc	cingulate cortex,  dorsocaudal part	Limbic Lobe	Cingulate Cortex	CG	23a/23b, caudal part
273	121	rh	CG.vc	cingulate cortex, ventrocaudal part	Limbic Lobe	Cingulate Cortex	CG	23
274	122	rh	CG.RSr	cingulate cortex, retrosplenial rostral part	Limbic Lobe	Cingulate Cortex	CG	29/30, rostral part
275	123	rh	CG.RSi	cingulate cortex, retrosplenial intermediate part	Limbic Lobe	Cingulate Cortex	CG	29/30, intermediate part
276	124	rh	CG.RSc	cingulate cortex, retrosplenial, caudal part	Limbic Lobe	Cingulate Cortex	CG	29/30, caudal part
277	125	rh	Acb.C	accumbens nucleus, core part	Subcortex Nucleus	Accumbens nucleus	Acb 	AcbC
278	126	rh	Acb.Sh	accumbens nucleus, shell part	Subcortex Nucleus	Accumbens nucleus	Acb 	AcbSh
279	127	rh	Amyg.cl	amygdaloid nucleus, caudolateral part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
280	128	rh	Amyg.rl	amygdaloid nucleus, rostrolateral part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
281	129	rh	Amyg.m	amygdaloid nucleus, medial part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
282	130	rh	Cd.Hv	caudate nucleus, head ventral part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
283	131	rh	Cd.B	caudate nucleus, body part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
284	132	rh	Cd.Hi	caudate nucleus, head intermediate part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
285	133	rh	Cd.Hd	caudate nucleus,  head  dorsal part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
286	134	rh	Cd.T	caudate nucleus, tail part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
287	135	rh	HF.c	hippocampal formation, caudal part	Subcortex Nucleus	Hippocampus formation	HF	HF
288	136	rh	HF.i	hippocampal formation, intermediate part	Subcortex Nucleus	Hippocampus formation	HF	HF
289	137	rh	HF.r	hippocampal formation, rostral part	Subcortex Nucleus	Hippocampus formation	HF	HF
290	138	rh	Hy.cl	hypothalamus, caudolateral part	Subcortex Nucleus	Hypothalamus	Hy	Hy
291	139	rh	Hy.rl	hypothalamus, rostrolateral part	Subcortex Nucleus	Hypothalamus	Hy	Hy
292	140	rh	Hy.m	hypothalamus, medial part	Subcortex Nucleus	Hypothalamus	Hy	Hy
293	141	rh	GP.v	globus pallidus, ventral part	Subcortex Nucleus	globus pallidus	GP	GP
294	142	rh	GP.d	globus pallidus, dorsal part	Subcortex Nucleus	globus pallidus	GP	GP
295	143	rh	Pu.r	putamen, rostral part	Subcortex Nucleus	Putamen	Pu	Pu
296	144	rh	Pu.v	putamen, ventral part	Subcortex Nucleus	Putamen	Pu	Pu
297	145	rh	Pu.c	putamen, caudal part	Subcortex Nucleus	Putamen	Pu	Pu
298	146	rh	Tha.rv	thalamus, rostroventral part	Subcortex Nucleus	thalamus	Tha	Tha
299	147	rh	Tha.c	thalamus, caudal part	Subcortex Nucleus	thalamus	Tha	Tha
300	148	rh	Tha.ld	thalamus, laterodorsal part	Subcortex Nucleus	thalamus	Tha	Tha
301	149	rh	Tha.l	thalamus, lateral part	Subcortex Nucleus	thalamus	Tha	Tha
302	150	rh	Tha.m	thalamus, medial part	Subcortex Nucleus	thalamus	Tha	Tha
303	151	rh	Tha.Sh	thalamus, shell part	Subcortex Nucleus	thalamus	Tha	Tha
304	152	rh	Tha.cv	thalamus, caudoventral part	Subcortex Nucleus	thalamus	Tha	Tha
